date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:28:22	248413/248413	---M-Z	200	added ('OK')	text/html	etag:%223ca5d-609b6e514939f-gzip%22	https://themesbrand.com/velzon/html/default/apps-ecommerce-product-details.html	D:/BOOTSTRAP%20TEMPLATE/Admin%20Template/themesbrand.com/velzon/html/default/apps-ecommerce-product-details.html	(from https://themesbrand.com/velzon/html/default/index.html)
11:28:22	62563/62563	---M--	200	added ('OK')	image/png	etag:%22f463-607431018e7eb%22	https://themesbrand.com/velzon/html/default/assets/images/products/img-1.png	D:/BOOTSTRAP%20TEMPLATE/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/products/img-1.png	(from https://themesbrand.com/velzon/html/default/index.html)
11:28:24	54572/54572	---M--	200	added ('OK')	image/png	etag:%22d52c-607431018f78b%22	https://themesbrand.com/velzon/html/default/assets/images/products/img-2.png	D:/BOOTSTRAP%20TEMPLATE/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/products/img-2.png	(from https://themesbrand.com/velzon/html/default/index.html)
11:28:25	68652/68652	---M--	200	added ('OK')	image/png	etag:%2210c2c-607431018f78b%22	https://themesbrand.com/velzon/html/default/assets/images/products/img-5.png	D:/BOOTSTRAP%20TEMPLATE/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/products/img-5.png	(from https://themesbrand.com/velzon/html/default/index.html)
11:28:25	100267/100267	---M--	200	added ('OK')	image/png	etag:%22187ab-607431018f78b%22	https://themesbrand.com/velzon/html/default/assets/images/products/img-3.png	D:/BOOTSTRAP%20TEMPLATE/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/products/img-3.png	(from https://themesbrand.com/velzon/html/default/index.html)
11:28:26	73544/73544	---M--	200	added ('OK')	image/png	etag:%2211f48-607431018f78b%22	https://themesbrand.com/velzon/html/default/assets/images/products/img-6.png	D:/BOOTSTRAP%20TEMPLATE/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/products/img-6.png	(from https://themesbrand.com/velzon/html/default/index.html)
11:28:27	232309/232309	---M-Z	200	added ('OK')	text/html	etag:%2238b75-609b6e514939f-gzip%22	https://themesbrand.com/velzon/html/default/apps-ecommerce-checkout.html	D:/BOOTSTRAP%20TEMPLATE/Admin%20Template/themesbrand.com/velzon/html/default/apps-ecommerce-checkout.html	(from https://themesbrand.com/velzon/html/default/index.html)
11:28:27	9460/9460	---M--	200	added ('OK')	image/jpeg	etag:%2224f4-60743101964eb%22	https://themesbrand.com/velzon/html/default/assets/images/users/avatar-8.jpg	D:/BOOTSTRAP%20TEMPLATE/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/users/avatar-8.jpg	(from https://themesbrand.com/velzon/html/default/index.html)
11:28:28	11948/11948	---M--	200	added ('OK')	image/jpeg	etag:%222eac-60743101964eb%22	https://themesbrand.com/velzon/html/default/assets/images/users/avatar-6.jpg	D:/BOOTSTRAP%20TEMPLATE/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/users/avatar-6.jpg	(from https://themesbrand.com/velzon/html/default/index.html)
11:28:28	9022/9022	---M--	200	added ('OK')	image/jpeg	etag:%22233e-60743101964eb%22	https://themesbrand.com/velzon/html/default/assets/images/users/avatar-1.jpg	D:/BOOTSTRAP%20TEMPLATE/Admin%20Template/themesbrand.com/velzon/html/default/assets/images/users/avatar-1.jpg	(from https://themesbrand.com/velzon/html/default/index.html)
